 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in  H- O.txt

 Ion = Magnesium [12] , Mass = 23,985 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  22,50 MeV   1,961E+03  2,755E+00   15,99 um     5545 A      6309 A   
  25,00 MeV   1,911E+03  2,518E+00   17,28 um     5850 A      6373 A   
  27,50 MeV   1,861E+03  2,320E+00   18,61 um     6156 A      6436 A   
  30,00 MeV   1,810E+03  2,154E+00   19,97 um     6462 A      6498 A   
  32,50 MeV   1,761E+03  2,010E+00   21,36 um     6770 A      6560 A   
  35,00 MeV   1,714E+03  1,886E+00   22,80 um     7081 A      6622 A   
  37,50 MeV   1,669E+03  1,777E+00   24,28 um     7394 A      6685 A   
  40,00 MeV   1,627E+03  1,681E+00   25,79 um     7710 A      6749 A   
  45,00 MeV   1,548E+03  1,518E+00   28,94 um     8925 A      6879 A   
  50,00 MeV   1,491E+03  1,385E+00   32,23 um     1,01 um     7015 A   
  55,00 MeV   1,449E+03  1,275E+00   35,63 um     1,12 um     7154 A   
  60,00 MeV   1,394E+03  1,182E+00   39,15 um     1,23 um     7299 A   
  65,00 MeV   1,338E+03  1,102E+00   42,80 um     1,33 um     7450 A   
  70,00 MeV   1,288E+03  1,033E+00   46,61 um     1,44 um     7608 A   
  80,00 MeV   1,202E+03  9,193E-01   54,64 um     1,84 um     7947 A   
  90,00 MeV   1,131E+03  8,291E-01   63,21 um     2,20 um     8317 A   
 100,00 MeV   1,070E+03  7,558E-01   72,30 um     2,55 um     8717 A   
 110,00 MeV   1,018E+03  6,949E-01   81,88 um     2,89 um     9148 A   
 120,00 MeV   9,716E+02  6,436E-01   91,93 um     3,23 um     9608 A   
 130,00 MeV   9,306E+02  5,997E-01  102,44 um     3,56 um     1,01 um  
 140,00 MeV   8,936E+02  5,617E-01  113,40 um     3,88 um     1,06 um  
 150,00 MeV   8,599E+02  5,284E-01  124,81 um     4,21 um     1,12 um  
 160,00 MeV   8,290E+02  4,990E-01  136,65 um     4,53 um     1,17 um  
 170,00 MeV   8,003E+02  4,729E-01  148,92 um     4,86 um     1,23 um  
 180,00 MeV   7,737E+02  4,495E-01  161,62 um     5,18 um     1,30 um  
 200,00 MeV   7,255E+02  4,094E-01  188,31 um     6,42 um     1,43 um  
 225,00 MeV   6,726E+02  3,686E-01  224,09 um     8,18 um     1,61 um  
 250,00 MeV   6,263E+02  3,356E-01  262,60 um     9,84 um     1,80 um  
 275,00 MeV   5,852E+02  3,082E-01  303,89 um    11,45 um     2,01 um  
 300,00 MeV   5,484E+02  2,852E-01  348,01 um    13,05 um     2,23 um  
 325,00 MeV   5,154E+02  2,655E-01  395,03 um    14,65 um     2,46 um  
 350,00 MeV   4,856E+02  2,484E-01  444,99 um    16,28 um     2,71 um  
 375,00 MeV   4,586E+02  2,335E-01  497,96 um    17,93 um     2,98 um  
 400,00 MeV   4,342E+02  2,204E-01  553,97 um    19,61 um     3,26 um  
 450,00 MeV   3,921E+02  1,983E-01  675,15 um    26,07 um     3,87 um  
