 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- O.txt

 Ion = Hydrogen [1] , Mass = 1,008 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  90,00 MeV   7,978E-01  3,644E-04   63,00 mm     2,83 mm     1,60 mm  
 100,00 MeV   7,371E-01  3,307E-04   76,03 mm     3,40 mm     1,92 mm  
 110,00 MeV   6,869E-01  3,030E-04   90,06 mm     3,96 mm     2,26 mm  
 120,00 MeV   6,447E-01  2,796E-04  105,07 mm     4,51 mm     2,62 mm  
 130,00 MeV   6,086E-01  2,597E-04  121,01 mm     5,07 mm     3,01 mm  
 140,00 MeV   5,774E-01  2,426E-04  137,86 mm     5,62 mm     3,41 mm  
 150,00 MeV   5,503E-01  2,276E-04  155,58 mm     6,18 mm     3,83 mm  
 160,00 MeV   5,263E-01  2,144E-04  174,13 mm     6,74 mm     4,27 mm  
 170,00 MeV   5,051E-01  2,028E-04  193,50 mm     7,31 mm     4,72 mm  
 180,00 MeV   4,862E-01  1,923E-04  213,66 mm     7,88 mm     5,19 mm  
 200,00 MeV   4,538E-01  1,745E-04  256,19 mm     9,97 mm     6,17 mm  
 225,00 MeV   4,212E-01  1,565E-04  313,32 mm    12,90 mm     7,47 mm  
 250,00 MeV   3,949E-01  1,419E-04  374,55 mm    15,61 mm     8,85 mm  
 275,00 MeV   3,734E-01  1,300E-04  439,59 mm    18,19 mm    10,29 mm  
 300,00 MeV   3,554E-01  1,199E-04  508,14 mm    20,69 mm    11,79 mm  
 325,00 MeV   3,402E-01  1,113E-04  579,97 mm    23,13 mm    13,34 mm  
 350,00 MeV   3,271E-01  1,039E-04  654,83 mm    25,52 mm    14,93 mm  
 375,00 MeV   3,159E-01  9,747E-05  732,52 mm    27,88 mm    16,57 mm  
 400,00 MeV   3,060E-01  9,181E-05  812,85 mm    30,20 mm    18,24 mm  
 450,00 MeV   2,897E-01  8,229E-05  980,64 mm    38,57 mm    21,67 mm  
 500,00 MeV   2,768E-01  7,462E-05    1,16 m     46,10 mm    25,20 mm  
 550,00 MeV   2,663E-01  6,829E-05    1,34 m     53,10 mm    28,81 mm  
 600,00 MeV   2,578E-01  6,298E-05    1,53 m     59,72 mm    32,46 mm  
 650,00 MeV   2,506E-01  5,846E-05    1,73 m     66,04 mm    36,15 mm  
 700,00 MeV   2,447E-01  5,456E-05    1,93 m     72,11 mm    39,86 mm  
 800,00 MeV   2,352E-01  4,818E-05    2,35 m     93,41 mm    47,32 mm  
 900,00 MeV   2,283E-01  4,317E-05    2,78 m    111,83 mm    54,77 mm  
   1,00 GeV   2,230E-01  3,913E-05    3,22 m    128,46 mm    62,17 mm  
   1,10 GeV   2,190E-01  3,580E-05    3,67 m    143,77 mm    69,47 mm  
   1,20 GeV   2,158E-01  3,301E-05    4,13 m    158,05 mm    76,67 mm  
   1,30 GeV   2,134E-01  3,063E-05    4,60 m    171,49 mm    83,75 mm  
   1,40 GeV   2,115E-01  2,858E-05    5,07 m    184,21 mm    90,71 mm  
   1,50 GeV   2,100E-01  2,680E-05    5,54 m    196,30 mm    97,53 mm  
   1,60 GeV   2,088E-01  2,523E-05    6,02 m    207,84 mm   104,22 mm  
   1,70 GeV   2,079E-01  2,384E-05    6,50 m    218,88 mm   110,78 mm  
   1,80 GeV   2,073E-01  2,260E-05    6,98 m    229,47 mm   117,20 mm  
   2,00 GeV   2,064E-01  2,048E-05    7,95 m    267,53 mm   129,67 mm  
   2,25 GeV   2,060E-01  1,834E-05    9,16 m    318,19 mm   144,56 mm  
   2,50 GeV   2,061E-01  1,662E-05   10,37 m    361,90 mm   158,75 mm  
   2,75 GeV   2,065E-01  1,520E-05   11,58 m    400,80 mm   172,27 mm  
   3,00 GeV   2,071E-01  1,401E-05   12,79 m    436,09 mm   185,18 mm  
   3,25 GeV   2,079E-01  1,299E-05   14,00 m    468,52 mm   197,54 mm  
   3,50 GeV   2,088E-01  1,212E-05   15,20 m    498,63 mm   209,40 mm  
   3,75 GeV   2,097E-01  1,136E-05   16,39 m    526,78 mm   220,78 mm  
   4,00 GeV   2,107E-01  1,069E-05   17,58 m    553,28 mm   231,74 mm  
   4,50 GeV   2,127E-01  9,575E-06   19,94 m    646,73 mm   252,49 mm  
   5,00 GeV   2,147E-01  8,673E-06   22,28 m    726,86 mm   271,88 mm  
   5,50 GeV   2,167E-01  7,930E-06   24,59 m    797,72 mm   290,09 mm  
   6,00 GeV   2,187E-01  7,307E-06   26,89 m    861,67 mm   307,27 mm  
   6,50 GeV   2,206E-01  6,777E-06   29,17 m    920,19 mm   323,54 mm  
   7,00 GeV   2,224E-01  6,321E-06   31,42 m    974,33 mm   339,00 mm  
   8,00 GeV   2,258E-01  5,575E-06   35,88 m      1,16 m    367,84 mm  
   9,00 GeV   2,290E-01  4,990E-06   40,28 m      1,32 m    394,34 mm  
  10,00 GeV   2,319E-01  4,519E-06   44,62 m      1,45 m    418,88 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  1,0000E-02                keV / (ug/cm2) 
  1,0000E-02                MeV / (mg/cm2) 
  1,0000E+01                keV / (mg/cm2) 
  9,9709E-02                 eV / (1E15 atoms/cm2)
  4,4210E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
