 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Fluorine in  H- O.txt

 Ion = Fluorine [9] , Mass = 18,998 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1,60 GeV   6,760E+01  2,926E-02   13,22 mm   504,57 um    73,25 um  
   1,70 GeV   6,453E+01  2,769E-02   14,73 mm   548,37 um    81,38 um  
   1,80 GeV   6,178E+01  2,628E-02   16,31 mm   592,61 um    89,86 um  
   2,00 GeV   5,707E+01  2,386E-02   19,68 mm   760,88 um   107,83 um  
   2,25 GeV   5,231E+01  2,142E-02   24,26 mm   999,59 um   132,07 um  
   2,50 GeV   4,845E+01  1,945E-02   29,22 mm     1,22 mm   158,17 um  
   2,75 GeV   4,527E+01  1,782E-02   34,56 mm     1,44 mm   186,01 um  
   3,00 GeV   4,260E+01  1,645E-02   40,25 mm     1,65 mm   215,48 um  
   3,25 GeV   4,033E+01  1,528E-02   46,28 mm     1,86 mm   246,48 um  
   3,50 GeV   3,837E+01  1,428E-02   52,64 mm     2,06 mm   278,92 um  
   3,75 GeV   3,666E+01  1,340E-02   59,31 mm     2,27 mm   312,70 um  
   4,00 GeV   3,516E+01  1,263E-02   66,27 mm     2,47 mm   347,75 um  
   4,50 GeV   3,265E+01  1,133E-02   81,03 mm     3,24 mm   421,36 um  
   5,00 GeV   3,064E+01  1,028E-02   96,83 mm     3,94 mm   499,18 um  
   5,50 GeV   2,899E+01  9,416E-03  113,61 mm     4,60 mm   580,72 um  
   6,00 GeV   2,761E+01  8,690E-03  131,29 mm     5,24 mm   665,55 um  
