 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Aluminum in  H- O.txt

 Ion = Aluminum [13] , Mass = 26,982 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2,50 GeV   1,369E+02  5,446E-02   10,40 mm   431,41 um    47,43 um  
   2,75 GeV   1,276E+02  4,993E-02   12,29 mm   507,83 um    55,67 um  
   3,00 GeV   1,197E+02  4,611E-02   14,31 mm   583,07 um    64,42 um  
   3,25 GeV   1,130E+02  4,286E-02   16,46 mm   657,76 um    73,67 um  
   3,50 GeV   1,072E+02  4,005E-02   18,73 mm   732,24 um    83,37 um  
   3,75 GeV   1,021E+02  3,760E-02   21,12 mm   806,70 um    93,53 um  
   4,00 GeV   9,762E+01  3,544E-02   23,63 mm   881,24 um   104,10 um  
   4,50 GeV   9,009E+01  3,182E-02   28,96 mm     1,16 mm   126,47 um  
   5,00 GeV   8,401E+01  2,888E-02   34,71 mm     1,42 mm   150,31 um  
   5,50 GeV   7,899E+01  2,647E-02   40,84 mm     1,66 mm   175,51 um  
   6,00 GeV   7,478E+01  2,443E-02   47,35 mm     1,90 mm   201,96 um  
   6,50 GeV   7,120E+01  2,270E-02   54,20 mm     2,13 mm   229,54 um  
   7,00 GeV   6,812E+01  2,120E-02   61,38 mm     2,36 mm   258,16 um  
   8,00 GeV   6,310E+01  1,875E-02   76,64 mm     3,20 mm   318,19 um  
   9,00 GeV   5,919E+01  1,683E-02   93,00 mm     3,95 mm   381,43 um  
  10,00 GeV   5,607E+01  1,527E-02  110,36 mm     4,65 mm   447,35 um  
  11,00 GeV   5,352E+01  1,398E-02  128,62 mm     5,32 mm   515,51 um  
  12,00 GeV   5,141E+01  1,290E-02  147,68 mm     5,97 mm   585,53 um  
  13,00 GeV   4,963E+01  1,198E-02  167,48 mm     6,59 mm   657,08 um  
  14,00 GeV   4,813E+01  1,119E-02  187,94 mm     7,20 mm   729,89 um  
  15,00 GeV   4,683E+01  1,050E-02  209,00 mm     7,79 mm   803,71 um  
  16,00 GeV   4,571E+01  9,892E-03  230,61 mm     8,37 mm   878,34 um  
  17,00 GeV   4,474E+01  9,353E-03  252,72 mm     8,94 mm   953,59 um  
  18,00 GeV   4,388E+01  8,871E-03  275,29 mm     9,49 mm     1,03 mm  
  20,00 GeV   4,246E+01  8,047E-03  321,62 mm    11,54 mm     1,18 mm  
  22,50 GeV   4,110E+01  7,215E-03  381,47 mm    14,31 mm     1,37 mm  
  25,00 GeV   4,005E+01  6,544E-03  443,09 mm    16,76 mm     1,56 mm  
  27,50 GeV   3,925E+01  5,990E-03  506,14 mm    18,99 mm     1,75 mm  
  30,00 GeV   3,861E+01  5,525E-03  570,36 mm    21,05 mm     1,94 mm  
  32,50 GeV   3,811E+01  5,130E-03  635,52 mm    22,98 mm     2,12 mm  
  35,00 GeV   3,771E+01  4,788E-03  701,46 mm    24,80 mm     2,31 mm  
  37,50 GeV   3,740E+01  4,491E-03  768,02 mm    26,53 mm     2,49 mm  
  40,00 GeV   3,714E+01  4,230E-03  835,09 mm    28,18 mm     2,66 mm  
  45,00 GeV   3,679E+01  3,791E-03  970,34 mm    34,06 mm     3,01 mm  
  50,00 GeV   3,657E+01  3,437E-03    1,11 m     39,14 mm     3,34 mm  
  55,00 GeV   3,645E+01  3,145E-03    1,24 m     43,67 mm     3,66 mm  
  60,00 GeV   3,640E+01  2,900E-03    1,38 m     47,79 mm     3,96 mm  
  65,00 GeV   3,640E+01  2,692E-03    1,52 m     51,59 mm     4,26 mm  
  70,00 GeV   3,643E+01  2,512E-03    1,66 m     55,13 mm     4,55 mm  
  80,00 GeV   3,658E+01  2,218E-03    1,93 m     67,38 mm     5,09 mm  
  90,00 GeV   3,678E+01  1,987E-03    2,20 m     77,63 mm     5,60 mm  
 100,00 GeV   3,702E+01  1,801E-03    2,47 m     86,58 mm     6,08 mm  
 110,00 GeV   3,727E+01  1,647E-03    2,74 m     94,58 mm     6,54 mm  
 120,00 GeV   3,753E+01  1,519E-03    3,01 m    101,86 mm     6,97 mm  
 130,00 GeV   3,779E+01  1,409E-03    3,27 m    108,56 mm     7,38 mm  
 140,00 GeV   3,805E+01  1,315E-03    3,54 m    114,79 mm     7,77 mm  
 150,00 GeV   3,831E+01  1,233E-03    3,80 m    120,62 mm     8,14 mm  
 160,00 GeV   3,856E+01  1,160E-03    4,06 m    126,11 mm     8,50 mm  
 170,00 GeV   3,881E+01  1,096E-03    4,32 m    131,30 mm     8,84 mm  
 180,00 GeV   3,905E+01  1,039E-03    4,58 m    136,23 mm     9,17 mm  
 200,00 GeV   3,951E+01  9,416E-04    5,09 m    154,09 mm     9,80 mm  
 225,00 GeV   4,005E+01  8,432E-04    5,71 m    177,88 mm    10,53 mm  
 250,00 GeV   4,055E+01  7,639E-04    6,33 m    198,34 mm    11,20 mm  
 260,00 GeV   2,433E+01  7,363E-04    6,65 m    203,44 mm    11,53 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  1,0000E-02                keV / (ug/cm2) 
  1,0000E-02                MeV / (mg/cm2) 
  1,0000E+01                keV / (mg/cm2) 
  9,9709E-02                 eV / (1E15 atoms/cm2)
  9,2615E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
