 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in  H- O.txt

 Ion = Boron [5] , Mass = 11,009 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 600,00 MeV   2,867E+01  1,398E-02   11,51 mm   477,38 um    87,60 um  
 650,00 MeV   2,689E+01  1,300E-02   13,31 mm   541,57 um   101,01 um  
 700,00 MeV   2,535E+01  1,214E-02   15,23 mm   606,03 um   115,22 um  
 800,00 MeV   2,283E+01  1,075E-02   19,39 mm   845,45 um   145,94 um  
 900,00 MeV   2,083E+01  9,646E-03   23,97 mm     1,07 mm   179,60 um  
   1,00 GeV   1,921E+01  8,757E-03   28,97 mm     1,28 mm   216,06 um  
   1,10 GeV   1,788E+01  8,023E-03   34,36 mm     1,49 mm   255,17 um  
   1,20 GeV   1,675E+01  7,407E-03   40,14 mm     1,70 mm   296,81 um  
   1,30 GeV   1,579E+01  6,881E-03   46,29 mm     1,91 mm   340,86 um  
   1,40 GeV   1,496E+01  6,428E-03   52,80 mm     2,12 mm   387,22 um  
   1,50 GeV   1,424E+01  6,032E-03   59,65 mm     2,34 mm   435,77 um  
   1,60 GeV   1,360E+01  5,684E-03   66,83 mm     2,55 mm   486,41 um  
   1,70 GeV   1,304E+01  5,376E-03   74,34 mm     2,76 mm   539,07 um  
   1,80 GeV   1,253E+01  5,100E-03   82,16 mm     2,98 mm   593,63 um  
   2,00 GeV   1,167E+01  4,628E-03   98,69 mm     3,79 mm   708,24 um  
   2,25 GeV   1,080E+01  4,151E-03  120,95 mm     4,93 mm   860,90 um  
   2,50 GeV   1,011E+01  3,766E-03  144,87 mm     5,99 mm     1,02 mm  
   2,75 GeV   9,533E+00  3,449E-03  170,34 mm     6,99 mm     1,19 mm  
   3,00 GeV   9,054E+00  3,182E-03  197,25 mm     7,96 mm     1,37 mm  
   3,25 GeV   8,648E+00  2,955E-03  225,50 mm     8,92 mm     1,56 mm  
   3,50 GeV   8,300E+00  2,759E-03  255,00 mm     9,85 mm     1,75 mm  
   3,75 GeV   7,998E+00  2,589E-03  285,68 mm    10,77 mm     1,94 mm  
   4,00 GeV   7,735E+00  2,438E-03  317,46 mm    11,67 mm     2,15 mm  
   4,50 GeV   7,298E+00  2,186E-03  384,01 mm    15,01 mm     2,56 mm  
   5,00 GeV   6,951E+00  1,983E-03  454,21 mm    18,00 mm     2,99 mm  
   5,50 GeV   6,670E+00  1,815E-03  527,64 mm    20,80 mm     3,43 mm  
   6,00 GeV   6,438E+00  1,674E-03  603,93 mm    23,44 mm     3,88 mm  
   6,50 GeV   6,245E+00  1,554E-03  682,78 mm    25,97 mm     4,34 mm  
   7,00 GeV   6,082E+00  1,451E-03  763,90 mm    28,40 mm     4,80 mm  
   8,00 GeV   5,824E+00  1,281E-03  931,92 mm    37,05 mm     5,73 mm  
   9,00 GeV   5,631E+00  1,148E-03    1,11 m     44,54 mm     6,67 mm  
  10,00 GeV   5,484E+00  1,041E-03    1,29 m     51,32 mm     7,60 mm  
  11,00 GeV   5,370E+00  9,527E-04    1,47 m     57,57 mm     8,53 mm  
  12,00 GeV   5,280E+00  8,785E-04    1,66 m     63,42 mm     9,45 mm  
  13,00 GeV   5,209E+00  8,154E-04    1,85 m     68,93 mm    10,36 mm  
  14,00 GeV   5,152E+00  7,609E-04    2,04 m     74,15 mm    11,25 mm  
  15,00 GeV   5,107E+00  7,135E-04    2,24 m     79,13 mm    12,13 mm  
  16,00 GeV   5,071E+00  6,718E-04    2,43 m     83,88 mm    13,00 mm  
  17,00 GeV   5,042E+00  6,348E-04    2,63 m     88,43 mm    13,85 mm  
  18,00 GeV   5,019E+00  6,019E-04    2,83 m     92,81 mm    14,69 mm  
  20,00 GeV   4,986E+00  5,455E-04    3,23 m    108,70 mm    16,32 mm  
  22,50 GeV   4,965E+00  4,886E-04    3,73 m    129,89 mm    18,28 mm  
  25,00 GeV   4,958E+00  4,428E-04    4,24 m    148,17 mm    20,16 mm  
  27,50 GeV   4,960E+00  4,050E-04    4,74 m    164,45 mm    21,95 mm  
  30,00 GeV   4,968E+00  3,733E-04    5,24 m    179,23 mm    23,67 mm  
  32,50 GeV   4,982E+00  3,464E-04    5,75 m    192,82 mm    25,31 mm  
  35,00 GeV   4,998E+00  3,232E-04    6,25 m    205,45 mm    26,90 mm  
  37,50 GeV   5,016E+00  3,029E-04    6,75 m    217,26 mm    28,42 mm  
  40,00 GeV   5,036E+00  2,852E-04    7,24 m    228,38 mm    29,89 mm  
  45,00 GeV   5,078E+00  2,554E-04    8,23 m    267,81 mm    32,68 mm  
  50,00 GeV   5,122E+00  2,313E-04    9,21 m    301,59 mm    35,29 mm  
  55,00 GeV   5,165E+00  2,115E-04   10,18 m    331,46 mm    37,75 mm  
  60,00 GeV   5,209E+00  1,950E-04   11,15 m    358,41 mm    40,07 mm  
  65,00 GeV   5,251E+00  1,808E-04   12,10 m    383,08 mm    42,28 mm  
  70,00 GeV   5,292E+00  1,687E-04   13,05 m    405,90 mm    44,37 mm  
  80,00 GeV   5,370E+00  1,488E-04   14,93 m    484,89 mm    48,29 mm  
  90,00 GeV   5,443E+00  1,332E-04   16,78 m    550,95 mm    51,89 mm  
 100,00 GeV   5,511E+00  1,206E-04   18,60 m    608,45 mm    55,23 mm  
 110,00 GeV   5,575E+00  1,103E-04   20,41 m    659,79 mm    58,34 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  1,0000E-02                keV / (ug/cm2) 
  1,0000E-02                MeV / (mg/cm2) 
  1,0000E+01                keV / (mg/cm2) 
  9,9709E-02                 eV / (1E15 atoms/cm2)
  2,4810E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
