 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- O.txt

 Ion = Oxygen [8] , Mass = 15,995 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  70,00 MeV   5,331E+02  3,345E-01   92,38 um     3,14 um     9603 A   
  80,00 MeV   4,912E+02  2,972E-01  111,92 um     4,19 um     1,08 um  
  90,00 MeV   4,563E+02  2,677E-01  133,03 um     5,15 um     1,21 um  
 100,00 MeV   4,265E+02  2,437E-01  155,69 um     6,08 um     1,35 um  
 110,00 MeV   4,007E+02  2,239E-01  179,88 um     6,98 um     1,51 um  
 120,00 MeV   3,779E+02  2,072E-01  205,57 um     7,88 um     1,67 um  
 130,00 MeV   3,576E+02  1,929E-01  232,76 um     8,77 um     1,84 um  
 140,00 MeV   3,393E+02  1,806E-01  261,46 um     9,68 um     2,02 um  
 150,00 MeV   3,228E+02  1,698E-01  291,67 um    10,59 um     2,21 um  
 160,00 MeV   3,077E+02  1,602E-01  323,40 um    11,51 um     2,41 um  
 170,00 MeV   2,938E+02  1,518E-01  356,65 um    12,44 um     2,61 um  
 180,00 MeV   2,811E+02  1,442E-01  391,44 um    13,39 um     2,83 um  
 200,00 MeV   2,584E+02  1,312E-01  465,64 um    17,04 um     3,29 um  
 225,00 MeV   2,343E+02  1,180E-01  567,24 um    22,32 um     3,92 um  
